Taxon,Group
Chaetodon_xanthocephalus,Actinopterygii
Chaetodon_semeion,Actinopterygii
Chaetodon_melannotus,Actinopterygii
Chaetodon_ocellicaudus,Actinopterygii
Chaetodon_selene,Actinopterygii
Chaetodon_ocellatus,Actinopterygii
Chaetodon_humeralis,Actinopterygii
Chaetodon_capistratus,Actinopterygii
Chaetodon_striatus,Actinopterygii
Chaetodon_aureofasciatus,Actinopterygii
Chaetodon_octofasciatus,Actinopterygii
Chaetodon_rainfordi,Actinopterygii
Parachaetodon_ocellatus,Actinopterygii
Chaetodon_speculum,Actinopterygii
Chaetodon_zanzibarensis,Actinopterygii
Chaetodon_plebeius,Actinopterygii
Chaetodon_bennetti,Actinopterygii
Chaetodon_tricinctus,Actinopterygii
Chaetodon_trifascialis,Actinopterygii
Chaetodon_baronessa,Actinopterygii
Chaetodon_larvatus,Actinopterygii
Chaetodon_austriacus,Actinopterygii
Chaetodon_trifasciatus,Actinopterygii
Chaetodon_lunulatus,Actinopterygii
Chaetodon_meyeri,Actinopterygii
Chaetodon_reticulatus,Actinopterygii
Chaetodon_ornatissimus,Actinopterygii
Chaetodon_dolosus,Actinopterygii
Chaetodon_sanctaehelenae,Actinopterygii
Chaetodon_sedentarius,Actinopterygii
Chaetodon_miliaris,Actinopterygii
Chaetodon_guentheri,Actinopterygii
Chaetodon_pelewensis,Actinopterygii
Chaetodon_punctofasciatus,Actinopterygii
Chaetodon_multicinctus,Actinopterygii
Chaetodon_guttatissimus,Actinopterygii
Chaetodon_citrinellus,Actinopterygii
Chaetodon_quadrimaculatus,Actinopterygii
Chaetodon_blackburnii,Actinopterygii
Chaetodon_burgessi,Actinopterygii
Chaetodon_mitratus,Actinopterygii
Chaetodon_argentatus,Actinopterygii
Chaetodon_paucifasciatus,Actinopterygii
Chaetodon_madagaskariensis,Actinopterygii
Chaetodon_mertensii,Actinopterygii
Chaetodon_xanthurus,Actinopterygii
Chaetodon_tinkeri,Actinopterygii
Chaetodon_fremblii,Actinopterygii
Chaetodon_unimaculatus,Actinopterygii
Chaetodon_interruptus,Actinopterygii
Chaetodon_kleinii,Actinopterygii
Chaetodon_trichrous,Actinopterygii
Chaetodon_hoefleri,Actinopterygii
Chaetodon_robustus,Actinopterygii
Chaetodon_melapterus,Actinopterygii
Prognathodes_marcellae,Actinopterygii
Prognathodes_aculeatus,Actinopterygii
Prognathodes_falcifer,Actinopterygii
Prognathodes_aya,Actinopterygii
Chelmonops_truncatus,Actinopterygii
Chelmonops_curiosus,Actinopterygii
Chelmon_muelleri,Actinopterygii
Chelmon_marginalis,Actinopterygii
Chelmon_rostratus,Actinopterygii
Coradion_melanopus,Actinopterygii
Coradion_chrysozonus,Actinopterygii
Coradion_altivelis,Actinopterygii
Amphichaetodon_howensis,Actinopterygii
Amphichaetodon_melbae,Actinopterygii
Johnrandallia_nigrirostris,Actinopterygii
Heniochus_chrysostomus,Actinopterygii
Heniochus_singularius,Actinopterygii
Heniochus_monoceros,Actinopterygii
